,away_wins,away_losses,away_draws,half_away_wins,half_away_losses,half_away_draws,Matches Played,total_wins,total_losses,total_draws,% wins,% losses,% draws,half_total_wins,half_total_losses,half_total_draws,% half wins,% half losses,% half draws,Total Full Time Away Team Goals,Full Time Away Team Goals mean,Total Half Time Away Team Goals,Half Time Away Team Goals mean,Total Away Team Shots,Away Team Shots mean,Total Away Team Shots on Target,Away Team Shots on Target mean,Total Away Team Fouls Committed,Away Team Fouls Committed mean,Total Away Team Corners,Away Team Corners mean,Total Away Team Yellow Cards,Away Team Yellow Cards mean,Total Away Team Red Cards,Away Team Red Cards mean
Auxerre,14,21,22,11.0,18.0,28.0,114,37,34,43,32.45614035087719,29.82456140350877,37.719298245614034,29.0,32.0,53.0,25.43859649122807,28.07017543859649,46.49122807017544,53.0,0.9298245614035088,21.0,0.3684210526315789,550.0,9.649122807017545,189.0,3.3157894736842106,853.0,14.964912280701755,204.0,3.5789473684210527,108.0,1.894736842105263,6.0,0.10526315789473684
Grenoble,1,15,3,2.0,12.0,5.0,38,5,25,8,13.157894736842104,65.78947368421052,21.05263157894737,7.0,19.0,12.0,18.42105263157895,50.0,31.57894736842105,7.0,0.3684210526315789,3.0,0.15789473684210525,203.0,10.68421052631579,70.0,3.6842105263157894,301.0,15.842105263157896,71.0,3.736842105263158,38.0,2.0,3.0,0.15789473684210525
Le Mans,2,15,2,2.0,10.0,7.0,38,8,22,8,21.05263157894737,57.89473684210526,21.05263157894737,8.0,15.0,15.0,21.05263157894737,39.473684210526315,39.473684210526315,14.0,0.7368421052631579,7.0,0.3684210526315789,193.0,10.157894736842104,65.0,3.4210526315789473,338.0,17.789473684210527,79.0,4.157894736842105,44.0,2.3157894736842106,4.0,0.21052631578947367
Monaco,64,45,43,49.0,42.0,61.0,304,146,70,88,48.026315789473685,23.026315789473685,28.94736842105263,116.0,72.0,116.0,38.1578947368421,23.68421052631579,38.1578947368421,220.0,1.4473684210526316,98.0,0.6447368421052632,1835.0,12.072368421052632,689.0,4.532894736842105,2230.0,14.671052631578947,716.0,4.7105263157894735,304.0,2.0,15.0,0.09868421052631579
Montpellier,54,77,59,43.0,59.0,88.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,209.0,1.1,90.0,0.47368421052631576,2141.0,11.26842105263158,735.0,3.8684210526315788,2782.0,14.642105263157895,835.0,4.394736842105263,335.0,1.763157894736842,37.0,0.19473684210526315
Rennes,59,79,52,43.0,60.0,87.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,215.0,1.131578947368421,97.0,0.5105263157894737,2033.0,10.7,709.0,3.731578947368421,2637.0,13.878947368421052,712.0,3.7473684210526317,282.0,1.4842105263157894,30.0,0.15789473684210525
St Etienne,62,74,54,49.0,52.0,89.0,380,156,116,108,41.05263157894737,30.526315789473685,28.42105263157895,110.0,94.0,176.0,28.94736842105263,24.736842105263158,46.31578947368421,190.0,1.0,85.0,0.4473684210526316,1977.0,10.405263157894737,675.0,3.5526315789473686,2811.0,14.794736842105262,867.0,4.563157894736842,352.0,1.8526315789473684,29.0,0.15263157894736842
Valenciennes,16,54,25,15.0,46.0,34.0,190,55,80,55,28.94736842105263,42.10526315789474,28.94736842105263,45.0,67.0,78.0,23.68421052631579,35.26315789473684,41.05263157894737,86.0,0.9052631578947369,32.0,0.3368421052631579,944.0,9.936842105263159,312.0,3.2842105263157895,1574.0,16.568421052631578,398.0,4.189473684210526,180.0,1.894736842105263,9.0,0.09473684210526316
Bordeaux,51,74,65,46.0,58.0,86.0,380,143,114,123,37.63157894736842,30.0,32.36842105263158,124.0,96.0,160.0,32.63157894736842,25.263157894736842,42.10526315789474,210.0,1.105263157894737,92.0,0.4842105263157895,2114.0,11.126315789473685,706.0,3.7157894736842105,2644.0,13.91578947368421,819.0,4.310526315789474,374.0,1.9684210526315788,25.0,0.13157894736842105
Lille,68,66,56,52.0,49.0,89.0,380,175,102,103,46.05263157894737,26.842105263157894,27.105263157894736,130.0,79.0,171.0,34.21052631578947,20.789473684210527,45.0,222.0,1.168421052631579,96.0,0.5052631578947369,2254.0,11.863157894736842,795.0,4.184210526315789,2727.0,14.352631578947369,850.0,4.473684210526316,361.0,1.9,31.0,0.1631578947368421
