,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played,total_wins,total_losses,total_draws,% wins,% losses,% draws,half_total_wins,half_total_losses,half_total_draws,% half wins,% half losses,% half draws,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean
Auxerre,23,13,21,18.0,14.0,25.0,114,37,34,43,32.45614035087719,29.82456140350877,37.719298245614034,29.0,32.0,53.0,25.43859649122807,28.07017543859649,46.49122807017544,80.0,1.4035087719298245,35.0,0.6140350877192983,735.0,12.894736842105264,268.0,4.701754385964913,838.0,14.701754385964913,289.0,5.0701754385964914,102.0,1.7894736842105263,1.0,0.017543859649122806
Grenoble,4,10,5,5.0,7.0,7.0,38,5,25,8,13.157894736842104,65.78947368421052,21.05263157894737,7.0,19.0,12.0,18.42105263157895,50.0,31.57894736842105,24.0,1.263157894736842,12.0,0.631578947368421,256.0,13.473684210526315,85.0,4.473684210526316,261.0,13.736842105263158,96.0,5.052631578947368,27.0,1.4210526315789473,4.0,0.21052631578947367
Le Mans,6,7,6,6.0,5.0,8.0,38,8,22,8,21.05263157894737,57.89473684210526,21.05263157894737,8.0,15.0,15.0,21.05263157894737,39.473684210526315,39.473684210526315,22.0,1.1578947368421053,11.0,0.5789473684210527,231.0,12.157894736842104,84.0,4.421052631578948,324.0,17.05263157894737,89.0,4.684210526315789,41.0,2.1578947368421053,4.0,0.21052631578947367
Monaco,82,25,45,67.0,30.0,55.0,304,146,70,88,48.026315789473685,23.026315789473685,28.94736842105263,116.0,72.0,116.0,38.1578947368421,23.68421052631579,38.1578947368421,256.0,1.6842105263157894,114.0,0.75,1998.0,13.144736842105264,712.0,4.684210526315789,2167.0,14.256578947368421,888.0,5.842105263157895,275.0,1.8092105263157894,16.0,0.10526315789473684
Montpellier,92,49,49,52.0,45.0,93.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789474,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1
Rennes,78,52,60,64.0,41.0,85.0,380,137,131,112,36.05263157894737,34.473684210526315,29.473684210526315,107.0,101.0,172.0,28.157894736842106,26.57894736842105,45.26315789473684,251.0,1.3210526315789475,113.0,0.5947368421052631,2479.0,13.047368421052632,849.0,4.468421052631579,2420.0,12.736842105263158,969.0,5.1,290.0,1.5263157894736843,15.0,0.07894736842105263
St Etienne,94,42,54,61.0,42.0,87.0,380,156,116,108,41.05263157894737,30.526315789473685,28.42105263157895,110.0,94.0,176.0,28.94736842105263,24.736842105263158,46.31578947368421,288.0,1.5157894736842106,112.0,0.5894736842105263,2677.0,14.089473684210526,917.0,4.826315789473684,2562.0,13.48421052631579,1164.0,6.126315789473685,291.0,1.5315789473684212,17.0,0.08947368421052632
Valenciennes,39,26,30,30.0,21.0,44.0,190,55,80,55,28.94736842105263,42.10526315789474,28.94736842105263,45.0,67.0,78.0,23.68421052631579,35.26315789473684,41.05263157894737,135.0,1.4210526315789473,51.0,0.5368421052631579,1293.0,13.610526315789473,436.0,4.589473684210526,1481.0,15.589473684210526,570.0,6.0,143.0,1.5052631578947369,5.0,0.05263157894736842
Bordeaux,92,40,58,78.0,38.0,74.0,380,143,114,123,37.63157894736842,30.0,32.36842105263158,124.0,96.0,160.0,32.63157894736842,25.263157894736842,42.10526315789474,270.0,1.4210526315789473,121.0,0.6368421052631579,2595.0,13.657894736842104,900.0,4.7368421052631575,2617.0,13.773684210526316,1015.0,5.342105263157895,295.0,1.5526315789473684,22.0,0.11578947368421053
Lille,107,36,47,78.0,30.0,82.0,380,175,102,103,46.05263157894737,26.842105263157894,27.105263157894736,130.0,79.0,171.0,34.21052631578947,20.789473684210527,45.0,326.0,1.7157894736842105,137.0,0.7210526315789474,2815.0,14.81578947368421,987.0,5.1947368421052635,2572.0,13.536842105263158,1105.0,5.815789473684211,275.0,1.4473684210526316,13.0,0.06842105263157895
Lens,19,22,16,15.0,15.0,27.0,114,26,54,34,22.80701754385965,47.36842105263158,29.82456140350877,21.0,38.0,55.0,18.42105263157895,33.333333333333336,48.24561403508772,61.0,1.0701754385964912,25.0,0.43859649122807015,750.0,13.157894736842104,243.0,4.2631578947368425,885.0,15.526315789473685,262.0,4.5964912280701755,87.0,1.5263157894736843,8.0,0.14035087719298245
Lorient,64,38,50,48.0,39.0,65.0,304,97,125,82,31.907894736842106,41.11842105263158,26.973684210526315,74.0,108.0,122.0,24.342105263157894,35.526315789473685,40.13157894736842,218.0,1.4342105263157894,84.0,0.5526315789473685,1998.0,13.144736842105264,721.0,4.743421052631579,1770.0,11.644736842105264,848.0,5.578947368421052,195.0,1.2828947368421053,15.0,0.09868421052631579
Lyon,116,31,42,91.0,26.0,72.0,378,196,91,91,51.851851851851855,24.074074074074073,24.074074074074073,147.0,87.0,144.0,38.888888888888886,23.015873015873016,38.095238095238095,377.0,1.9947089947089947,169.0,0.8941798941798942,3087.0,16.333333333333332,1132.0,5.98941798941799,2575.0,13.624338624338625,1171.0,6.195767195767195,261.0,1.380952380952381,17.0,0.08994708994708994
Nancy,32,39,24,30.0,17.0,48.0,189,54,86,49,28.571428571428573,45.5026455026455,25.925925925925927,47.0,50.0,92.0,24.867724867724867,26.455026455026456,48.67724867724868,105.0,1.105263157894737,49.0,0.5157894736842106,1273.0,13.4,405.0,4.2631578947368425,1374.0,14.463157894736842,479.0,5.042105263157895,145.0,1.5263157894736843,9.0,0.09473684210526316
Paris SG,137,14,39,113.0,16.0,61.0,380,241,54,85,63.421052631578945,14.210526315789474,22.36842105263158,177.0,55.0,148.0,46.578947368421055,14.473684210526315,38.94736842105263,478.0,2.5157894736842104,216.0,1.1368421052631579,2981.0,15.689473684210526,1172.0,6.168421052631579,2339.0,12.310526315789474,1222.0,6.431578947368421,266.0,1.4,11.0,0.05789473684210526
Sochaux,42,33,20,34.0,29.0,32.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,120.0,1.263157894736842,58.0,0.6105263157894737,1209.0,12.726315789473684,432.0,4.5473684210526315,1335.0,14.052631578947368,509.0,5.3578947368421055,118.0,1.2421052631578948,10.0,0.10526315789473684
