HomeTeam,AwayTeam,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Year,Month,Day,home_wins,home_losses,home_draws,half_home_wins,half_home_losses,half_home_draws,Matches Played_x,total_wins_x,total_losses_x,total_draws_x,% wins_x,% losses_x,% draws_x,half_total_wins_x,half_total_losses_x,half_total_draws_x,% half wins_x,% half losses_x,% half draws_x,Total Full Time Home Team Goals,Full Time Home Team Goals mean,Total Half Time Home Team Goals,Half Time Home Team Goals mean,Total Home Team Shots,Home Team Shots mean,Total Home Team Shots on Target,Home Team Shots on Target mean,Total Home Team Fouls Committed,Home Team Fouls Committed mean,Total Home Team Corners,Home Team Corners mean,Total Home Team Yellow Cards,Home Team Yellow Cards mean,Total Home Team Red Cards,Home Team Red Cards mean,away_wins,away_losses,away_draws,half_away_wins,half_away_losses,half_away_draws,Matches Played_y,total_wins_y,total_losses_y,total_draws_y,% wins_y,% losses_y,% draws_y,half_total_wins_y,half_total_losses_y,half_total_draws_y,% half wins_y,% half losses_y,% half draws_y,Total Full Time Away Team Goals,Full Time Away Team Goals mean,Total Half Time Away Team Goals,Half Time Away Team Goals mean,Total Away Team Shots,Away Team Shots mean,Total Away Team Shots on Target,Away Team Shots on Target mean,Total Away Team Fouls Committed,Away Team Fouls Committed mean,Total Away Team Corners,Away Team Corners mean,Total Away Team Yellow Cards,Away Team Yellow Cards mean,Total Away Team Red Cards,Away Team Red Cards mean
Auxerre,Sochaux,0,1,A,0.0,1.0,A,12.0,9.0,2.0,3.0,10.0,18.0,6.0,10.0,0.0,2.0,0.0,0.0,2009,08,08,23,13,21,18.0,14.0,25.0,114,37,34,43,32.45614035087719,29.82456140350877,37.719298245614034,29.0,32.0,53.0,25.43859649122807,28.07017543859649,46.49122807017544,80.0,1.4035087719298245,35.0,0.6140350877192983,735.0,12.894736842105264,268.0,4.701754385964913,838.0,14.701754385964913,289.0,5.0701754385964914,102.0,1.7894736842105263,1.0,0.017543859649122806,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Auxerre,Sochaux,2,0,H,1.0,0.0,H,13.0,19.0,5.0,3.0,16.0,10.0,4.0,7.0,1.0,1.0,0.0,0.0,2011,03,19,23,13,21,18.0,14.0,25.0,114,37,34,43,32.45614035087719,29.82456140350877,37.719298245614034,29.0,32.0,53.0,25.43859649122807,28.07017543859649,46.49122807017544,80.0,1.4035087719298245,35.0,0.6140350877192983,735.0,12.894736842105264,268.0,4.701754385964913,838.0,14.701754385964913,289.0,5.0701754385964914,102.0,1.7894736842105263,1.0,0.017543859649122806,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Auxerre,Sochaux,4,1,H,0.0,1.0,A,16.0,10.0,9.0,3.0,15.0,8.0,7.0,5.0,1.0,0.0,0.0,0.0,2011,09,25,23,13,21,18.0,14.0,25.0,114,37,34,43,32.45614035087719,29.82456140350877,37.719298245614034,29.0,32.0,53.0,25.43859649122807,28.07017543859649,46.49122807017544,80.0,1.4035087719298245,35.0,0.6140350877192983,735.0,12.894736842105264,268.0,4.701754385964913,838.0,14.701754385964913,289.0,5.0701754385964914,102.0,1.7894736842105263,1.0,0.017543859649122806,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Grenoble,Sochaux,2,2,D,0.0,1.0,A,9.0,8.0,5.0,3.0,11.0,14.0,3.0,7.0,0.0,1.0,0.0,0.0,2010,04,17,4,10,5,5.0,7.0,7.0,38,5,25,8,13.157894736842104,65.78947368421052,21.05263157894737,7.0,19.0,12.0,18.42105263157895,50.0,31.57894736842105,24.0,1.263157894736842,12.0,0.631578947368421,256.0,13.473684210526315,85.0,4.473684210526316,261.0,13.736842105263158,96.0,5.052631578947368,27.0,1.4210526315789473,4.0,0.21052631578947367,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Le Mans,Sochaux,0,0,D,0.0,0.0,D,11.0,12.0,3.0,1.0,14.0,9.0,8.0,1.0,2.0,1.0,0.0,1.0,2010,02,13,6,7,6,6.0,5.0,8.0,38,8,22,8,21.05263157894737,57.89473684210526,21.05263157894737,8.0,15.0,15.0,21.05263157894737,39.473684210526315,39.473684210526315,22.0,1.1578947368421053,11.0,0.5789473684210527,231.0,12.157894736842104,84.0,4.421052631578948,324.0,17.05263157894737,89.0,4.684210526315789,41.0,2.1578947368421053,4.0,0.21052631578947367,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Monaco,Sochaux,2,0,H,0.0,0.0,D,17.0,7.0,8.0,3.0,15.0,16.0,5.0,5.0,1.0,3.0,0.0,0.0,2010,01,16,82,25,45,67.0,30.0,55.0,304,146,70,88,48.026315789473685,23.026315789473685,28.94736842105263,116.0,72.0,116.0,38.1578947368421,23.68421052631579,38.1578947368421,256.0,1.6842105263157894,114.0,0.75,1998.0,13.144736842105264,712.0,4.684210526315789,2167.0,14.256578947368421,888.0,5.842105263157895,275.0,1.8092105263157894,16.0,0.10526315789473684,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Monaco,Sochaux,2,1,H,1.0,0.0,H,16.0,11.0,2.0,3.0,17.0,17.0,1.0,6.0,2.0,0.0,0.0,1.0,2010,12,22,82,25,45,67.0,30.0,55.0,304,146,70,88,48.026315789473685,23.026315789473685,28.94736842105263,116.0,72.0,116.0,38.1578947368421,23.68421052631579,38.1578947368421,256.0,1.6842105263157894,114.0,0.75,1998.0,13.144736842105264,712.0,4.684210526315789,2167.0,14.256578947368421,888.0,5.842105263157895,275.0,1.8092105263157894,16.0,0.10526315789473684,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Monaco,Sochaux,2,1,H,1.0,0.0,H,15.0,11.0,4.0,7.0,15.0,14.0,3.0,6.0,1.0,2.0,0.0,1.0,2014,03,08,82,25,45,67.0,30.0,55.0,304,146,70,88,48.026315789473685,23.026315789473685,28.94736842105263,116.0,72.0,116.0,38.1578947368421,23.68421052631579,38.1578947368421,256.0,1.6842105263157894,114.0,0.75,1998.0,13.144736842105264,712.0,4.684210526315789,2167.0,14.256578947368421,888.0,5.842105263157895,275.0,1.8092105263157894,16.0,0.10526315789473684,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Montpellier,Sochaux,2,0,H,0.0,0.0,D,15.0,9.0,3.0,4.0,31.0,24.0,5.0,1.0,2.0,4.0,0.0,0.0,2009,08,22,92,49,49,52.0,45.0,93.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789474,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
Montpellier,Sochaux,2,0,H,2.0,0.0,H,14.0,5.0,6.0,1.0,18.0,16.0,5.0,3.0,0.0,4.0,0.0,0.0,2010,10,16,92,49,49,52.0,45.0,93.0,380,146,126,108,38.421052631578945,33.1578947368421,28.42105263157895,95.0,104.0,181.0,25.0,27.36842105263158,47.63157894736842,272.0,1.431578947368421,100.0,0.5263157894736842,2641.0,13.9,896.0,4.71578947368421,2719.0,14.310526315789474,968.0,5.094736842105263,308.0,1.6210526315789473,19.0,0.1,17,53,25,14.0,39.0,42.0,190,59,86,45,31.05263157894737,45.26315789473684,23.68421052631579,48.0,68.0,74.0,25.263157894736842,35.78947368421053,38.94736842105263,86.0,0.9052631578947369,35.0,0.3684210526315789,875.0,9.210526315789474,304.0,3.2,1441.0,15.16842105263158,399.0,4.2,159.0,1.6736842105263159,13.0,0.1368421052631579
